campaign_id,category,region,is_brand,budget_daily,start_date,end_date
63,games,EU,0,15.45,2026-01-19,2026-02-18
64,food,LATAM,0,36.87,2026-01-19,2026-02-19
65,travel,LATAM,0,34.25,2026-01-26,2026-02-05
66,games,US,1,24.79,2026-01-15,2026-03-29
67,food,MEA,0,14.11,2026-01-14,2026-04-08
68,games,LATAM,0,26.87,2026-01-19,2026-03-08
69,retail,US,0,23.36,2026-01-06,2026-02-26
70,travel,EU,0,9.65,2026-01-05,2026-03-29
71,auto,LATAM,1,8.76,2026-01-26,2026-03-16
72,finance,US,0,36.44,2026-01-07,2026-03-06
73,travel,LATAM,0,3.97,2026-01-16,2026-02-27
74,finance,APAC,1,28.33,2026-01-09,2026-02-27
75,media,APAC,1,17.56,2026-01-07,2026-02-26
76,travel,EU,0,61.3,2026-01-18,2026-03-25
77,games,LATAM,0,17.37,2026-01-25,2026-03-23
78,finance,EU,0,38.93,2026-01-14,2026-03-03
79,edtech,APAC,0,18.58,2026-01-05,2026-01-18
80,media,MEA,0,26.57,2026-01-08,2026-03-31
81,food,MEA,0,41.09,2026-01-05,2026-03-26
82,travel,MEA,1,17.75,2026-01-27,2026-02-18
83,finance,MEA,1,49.28,2026-01-10,2026-02-10
84,auto,APAC,1,12.24,2026-01-12,2026-04-09
85,media,US,1,30.15,2026-01-03,2026-02-05
86,media,MEA,1,46.8,2026-01-14,2026-03-29
87,retail,MEA,1,38.94,2026-01-28,2026-04-10
88,games,MEA,1,93.83,2026-01-13,2026-04-01
89,auto,LATAM,0,14.38,2026-01-20,2026-01-28
90,auto,EU,0,9.34,2026-01-06,2026-02-22
91,travel,APAC,0,12.23,2026-01-05,2026-02-27
92,auto,APAC,0,38.95,2026-01-22,2026-04-08
93,auto,MEA,0,34.76,2026-01-02,2026-01-27
94,travel,US,0,26.35,2026-01-14,2026-02-15
95,food,US,0,11.18,2026-01-10,2026-01-31
96,games,EU,0,41.96,2026-01-01,2026-03-12
97,finance,MEA,0,10.41,2026-01-16,2026-04-15
98,media,LATAM,1,55.22,2026-01-29,2026-02-16
99,media,EU,1,181.31,2026-01-03,2026-01-29
100,finance,APAC,0,31.71,2026-01-25,2026-02-26
101,auto,APAC,0,36.9,2026-01-17,2026-04-07
102,finance,APAC,0,17.37,2026-01-22,2026-03-06
103,auto,MEA,1,6.91,2026-01-03,2026-02-02
104,retail,EU,1,16.09,2026-01-27,2026-03-01
105,auto,US,0,11.42,2026-01-01,2026-02-26
106,auto,EU,1,8.91,2026-01-28,2026-03-08
107,auto,US,0,81.91,2026-01-20,2026-02-07
108,media,MEA,0,29.7,2026-01-11,2026-03-27
109,travel,MEA,1,32.0,2026-01-01,2026-02-12
110,media,EU,0,19.76,2026-01-19,2026-02-16
111,games,LATAM,0,21.74,2026-01-03,2026-03-11
112,auto,US,0,48.19,2026-01-19,2026-03-28
113,edtech,EU,0,23.98,2026-01-24,2026-02-12
114,travel,US,1,35.57,2026-01-09,2026-01-22
115,edtech,EU,1,21.39,2026-01-08,2026-01-18
116,edtech,APAC,0,19.31,2026-01-07,2026-03-18
117,retail,MEA,0,9.16,2026-01-07,2026-03-06
118,finance,APAC,1,6.14,2026-01-04,2026-03-17
119,finance,LATAM,0,20.43,2026-01-08,2026-03-07
120,retail,APAC,1,25.52,2026-01-20,2026-03-01
121,travel,EU,0,9.97,2026-01-10,2026-03-06
122,media,EU,0,23.95,2026-01-24,2026-03-31
123,media,US,1,25.47,2026-01-25,2026-03-06
124,travel,US,0,5.42,2026-01-23,2026-04-15
125,auto,MEA,0,12.93,2026-01-17,2026-04-08
126,edtech,MEA,0,32.63,2026-01-10,2026-03-24
127,retail,MEA,0,32.17,2026-01-28,2026-04-27
128,auto,LATAM,0,10.94,2026-01-07,2026-02-15
129,edtech,APAC,0,27.41,2026-01-14,2026-01-30
130,media,LATAM,1,50.18,2026-01-14,2026-03-02
131,edtech,APAC,1,42.26,2026-01-23,2026-04-01
132,edtech,LATAM,0,22.95,2026-01-17,2026-03-29
133,retail,LATAM,0,17.68,2026-01-24,2026-03-04
134,edtech,LATAM,1,15.79,2026-01-28,2026-02-28
135,auto,LATAM,1,34.04,2026-01-12,2026-02-24
136,games,EU,0,28.12,2026-01-27,2026-04-10
137,edtech,LATAM,0,38.11,2026-01-06,2026-01-18
138,retail,US,0,26.9,2026-01-28,2026-03-03
139,games,LATAM,0,43.52,2026-01-06,2026-02-01
140,travel,APAC,0,26.21,2026-01-26,2026-04-09
141,food,MEA,0,42.49,2026-01-12,2026-02-26
142,finance,US,1,45.13,2026-01-29,2026-02-12
143,games,MEA,1,13.97,2026-01-04,2026-02-01
144,travel,MEA,1,6.92,2026-01-14,2026-01-24
145,food,US,0,72.27,2026-01-28,2026-03-15
146,auto,APAC,0,29.36,2026-01-02,2026-04-01
147,retail,APAC,1,7.39,2026-01-08,2026-03-03
148,finance,LATAM,1,14.88,2026-01-03,2026-03-23
149,auto,LATAM,0,42.11,2026-01-10,2026-03-19
150,retail,MEA,1,20.17,2026-01-12,2026-04-02
151,auto,US,0,17.14,2026-01-19,2026-02-20
152,games,APAC,1,65.41,2026-01-08,2026-04-03
153,food,APAC,0,11.79,2026-01-05,2026-01-31
154,games,MEA,0,14.03,2026-01-06,2026-02-18
155,travel,US,0,28.44,2026-01-29,2026-04-02
156,media,APAC,0,32.24,2026-01-29,2026-02-28
157,finance,EU,0,34.72,2026-01-07,2026-02-04
158,edtech,MEA,0,46.43,2026-01-06,2026-01-23
159,edtech,US,0,28.19,2026-01-02,2026-01-09
160,auto,US,1,34.56,2026-01-29,2026-03-18
161,food,APAC,0,20.46,2026-01-22,2026-04-20
162,media,APAC,0,25.63,2026-01-23,2026-02-17
163,travel,MEA,1,26.45,2026-01-09,2026-02-21
164,travel,APAC,0,28.52,2026-01-20,2026-04-14
165,travel,APAC,0,42.13,2026-01-02,2026-03-14
166,auto,EU,1,36.18,2026-01-21,2026-01-28
167,games,EU,1,25.3,2026-01-18,2026-03-07
168,finance,US,0,13.92,2026-01-10,2026-01-28
169,games,MEA,1,25.72,2026-01-22,2026-02-18
170,retail,MEA,0,24.06,2026-01-20,2026-02-16
171,retail,LATAM,0,28.08,2026-01-14,2026-03-12
172,retail,LATAM,1,114.96,2026-01-06,2026-01-29
173,auto,US,0,17.0,2026-01-01,2026-01-28
174,media,EU,1,32.97,2026-01-29,2026-02-23
175,media,EU,0,51.83,2026-01-09,2026-02-14
176,travel,US,1,26.27,2026-01-10,2026-03-12
177,media,US,0,126.03,2026-01-21,2026-03-02
178,finance,EU,0,18.83,2026-01-08,2026-02-11
179,food,US,0,30.78,2026-01-12,2026-03-02
180,edtech,EU,0,14.02,2026-01-22,2026-03-21
181,food,LATAM,1,19.18,2026-01-18,2026-01-26
182,finance,MEA,0,29.2,2026-01-20,2026-04-10
183,travel,LATAM,0,44.36,2026-01-01,2026-03-25
184,media,APAC,0,30.67,2026-01-14,2026-03-12
185,travel,APAC,0,59.23,2026-01-15,2026-03-10
186,travel,US,1,22.95,2026-01-19,2026-03-24
187,finance,EU,0,19.44,2026-01-05,2026-02-17
188,travel,APAC,1,162.84,2026-01-05,2026-02-11
189,finance,APAC,0,32.33,2026-01-23,2026-02-28
190,games,EU,0,14.83,2026-01-21,2026-02-10
191,media,APAC,0,15.09,2026-01-25,2026-04-11
192,media,US,0,12.68,2026-01-09,2026-02-11
193,edtech,EU,1,47.26,2026-01-30,2026-03-01
194,games,LATAM,1,19.01,2026-01-09,2026-04-06
195,food,APAC,1,26.82,2026-01-20,2026-03-10
196,retail,LATAM,0,23.47,2026-01-05,2026-03-04
197,games,LATAM,0,40.94,2026-01-28,2026-02-24
198,retail,MEA,0,13.56,2026-01-10,2026-02-09
199,games,MEA,0,11.55,2026-01-25,2026-04-02
200,food,LATAM,1,28.7,2026-01-10,2026-02-23
201,games,MEA,0,37.36,2026-01-24,2026-02-12
202,food,APAC,0,30.96,2026-01-14,2026-03-31
203,travel,MEA,1,13.92,2026-01-02,2026-02-11
204,media,LATAM,1,39.42,2026-01-06,2026-03-09
205,travel,LATAM,0,14.57,2026-01-21,2026-02-25
206,games,MEA,0,17.03,2026-01-06,2026-02-28
207,auto,APAC,0,12.67,2026-01-09,2026-03-21
208,food,LATAM,0,61.0,2026-01-17,2026-04-07
209,games,US,0,38.22,2026-01-08,2026-02-01
210,auto,MEA,0,37.47,2026-01-04,2026-03-07
211,games,LATAM,1,58.74,2026-01-19,2026-04-11
212,media,LATAM,1,175.71,2026-01-21,2026-03-22
213,auto,APAC,0,7.42,2026-01-22,2026-02-09
214,travel,MEA,0,14.63,2026-01-29,2026-02-20
215,media,EU,0,15.94,2026-01-04,2026-01-27
216,games,EU,0,13.52,2026-01-13,2026-01-28
217,retail,APAC,0,11.54,2026-01-08,2026-03-18
218,retail,LATAM,0,19.89,2026-01-28,2026-04-25
219,travel,MEA,0,10.47,2026-01-17,2026-03-07
220,food,APAC,0,31.02,2026-01-03,2026-02-28
221,finance,LATAM,0,25.44,2026-01-21,2026-04-02
222,travel,APAC,0,34.35,2026-01-02,2026-02-12
223,media,MEA,1,35.0,2026-01-09,2026-02-24
224,finance,LATAM,0,37.42,2026-01-22,2026-03-18
225,media,APAC,0,18.89,2026-01-16,2026-02-17
226,games,MEA,1,108.29,2026-01-23,2026-02-04
227,auto,EU,0,28.91,2026-01-18,2026-03-13
228,edtech,MEA,0,6.66,2026-01-26,2026-04-11
229,edtech,EU,1,12.16,2026-01-17,2026-01-30
230,finance,US,0,7.25,2026-01-02,2026-01-26
231,travel,MEA,0,24.83,2026-01-03,2026-01-31
232,auto,LATAM,0,22.53,2026-01-24,2026-04-07
233,retail,MEA,0,17.67,2026-01-02,2026-02-19
234,auto,LATAM,0,100.25,2026-01-12,2026-03-04
235,travel,LATAM,0,36.03,2026-01-01,2026-03-02
236,media,US,0,40.78,2026-01-10,2026-02-08
237,media,EU,0,12.78,2026-01-18,2026-03-25
238,travel,EU,0,12.19,2026-01-06,2026-01-15
239,games,US,0,25.17,2026-01-14,2026-01-30
240,media,EU,0,27.69,2026-01-30,2026-04-14
241,finance,APAC,1,6.69,2026-01-03,2026-03-05
242,edtech,LATAM,0,21.62,2026-01-02,2026-01-23
243,retail,MEA,0,24.78,2026-01-09,2026-02-21
244,media,APAC,0,21.1,2026-01-25,2026-02-05
245,media,MEA,0,13.88,2026-01-13,2026-03-16
246,retail,MEA,0,16.82,2026-01-20,2026-03-30
247,auto,MEA,0,21.68,2026-01-02,2026-02-01
248,travel,APAC,0,26.14,2026-01-23,2026-02-28
249,auto,US,1,37.46,2026-01-03,2026-01-29
250,retail,MEA,1,52.28,2026-01-22,2026-03-02
251,finance,US,0,19.96,2026-01-05,2026-02-03
252,travel,APAC,0,17.83,2026-01-26,2026-02-22
253,finance,EU,0,33.33,2026-01-09,2026-02-20
254,games,LATAM,0,37.62,2026-01-06,2026-03-25
255,media,LATAM,0,18.1,2026-01-11,2026-03-22
256,finance,EU,1,42.66,2026-01-01,2026-02-01
257,media,US,1,48.7,2026-01-05,2026-03-31
258,retail,APAC,1,60.59,2026-01-18,2026-02-11
259,finance,APAC,0,85.18,2026-01-10,2026-04-02
260,edtech,MEA,1,13.38,2026-01-11,2026-02-12
261,auto,US,0,24.77,2026-01-25,2026-03-17
262,finance,MEA,0,24.73,2026-01-04,2026-01-27
263,games,APAC,0,22.9,2026-01-12,2026-03-23
264,food,MEA,1,15.57,2026-01-06,2026-02-08
265,food,US,0,8.67,2026-01-15,2026-04-04
266,edtech,EU,1,26.18,2026-01-10,2026-01-23
267,travel,EU,0,14.33,2026-01-02,2026-02-19
268,games,US,1,26.05,2026-01-03,2026-01-23
269,edtech,MEA,0,14.07,2026-01-26,2026-04-16
270,edtech,EU,0,11.36,2026-01-02,2026-02-12
271,games,US,1,28.9,2026-01-24,2026-03-27
272,retail,EU,0,27.27,2026-01-28,2026-04-17
273,finance,MEA,0,36.8,2026-01-14,2026-03-06
274,food,LATAM,0,113.31,2026-01-10,2026-01-21
275,travel,LATAM,0,29.79,2026-01-24,2026-02-18
276,travel,LATAM,0,34.45,2026-01-30,2026-02-23
277,travel,LATAM,0,11.54,2026-01-04,2026-03-27
278,auto,LATAM,0,9.97,2026-01-29,2026-04-21
279,retail,EU,1,74.29,2026-01-29,2026-03-16
280,retail,MEA,0,12.85,2026-01-05,2026-03-26
281,games,LATAM,0,11.81,2026-01-02,2026-01-29
282,travel,LATAM,0,23.87,2026-01-22,2026-03-26
283,media,US,0,23.03,2026-01-03,2026-02-11
284,travel,MEA,0,13.04,2026-01-19,2026-02-14
285,travel,US,1,19.82,2026-01-02,2026-01-29
286,food,EU,1,58.01,2026-01-21,2026-03-03
287,finance,MEA,0,13.95,2026-01-07,2026-02-11
288,edtech,US,0,9.25,2026-01-03,2026-01-27
289,edtech,EU,0,47.46,2026-01-02,2026-02-05
290,travel,LATAM,0,34.63,2026-01-06,2026-01-23
291,auto,US,0,15.89,2026-01-17,2026-04-14
292,games,MEA,0,8.11,2026-01-03,2026-02-10
293,food,APAC,0,14.57,2026-01-25,2026-02-09
294,games,EU,0,23.61,2026-01-19,2026-03-14
295,edtech,MEA,0,55.48,2026-01-09,2026-03-30
296,edtech,APAC,0,11.87,2026-01-30,2026-03-07
297,auto,US,0,23.12,2026-01-20,2026-04-07
298,travel,LATAM,0,39.35,2026-01-21,2026-03-19
299,games,APAC,1,4.63,2026-01-06,2026-03-15
300,retail,EU,0,50.58,2026-01-22,2026-02-22
301,games,LATAM,0,10.72,2026-01-17,2026-01-27
302,auto,APAC,0,30.95,2026-01-30,2026-03-06
303,retail,LATAM,1,29.16,2026-01-15,2026-04-08
304,food,MEA,0,52.42,2026-01-21,2026-04-03
305,edtech,LATAM,1,36.08,2026-01-11,2026-03-24
306,finance,LATAM,1,4.65,2026-01-02,2026-03-22
307,games,US,0,14.16,2026-01-04,2026-02-10
308,edtech,US,0,27.02,2026-01-27,2026-03-01
309,games,APAC,0,21.4,2026-01-23,2026-04-16
310,retail,MEA,1,34.27,2026-01-11,2026-03-06
311,media,APAC,0,42.63,2026-01-21,2026-02-21
312,media,US,1,37.56,2026-01-01,2026-01-31
313,retail,LATAM,0,21.12,2026-01-02,2026-03-22
314,games,MEA,0,6.74,2026-01-16,2026-01-27
315,finance,MEA,0,17.84,2026-01-19,2026-01-31
316,media,US,0,32.83,2026-01-29,2026-04-07
317,media,LATAM,0,11.44,2026-01-23,2026-01-30
318,media,APAC,0,38.16,2026-01-08,2026-01-29
319,food,APAC,1,46.33,2026-01-25,2026-04-24
320,auto,US,1,26.81,2026-01-15,2026-02-26
321,games,EU,0,2.87,2026-01-25,2026-04-02
322,retail,US,0,10.03,2026-01-06,2026-02-22
323,edtech,APAC,0,91.87,2026-01-01,2026-01-15
324,food,MEA,1,16.73,2026-01-02,2026-01-24
325,food,MEA,0,6.12,2026-01-30,2026-04-10
326,finance,EU,1,58.25,2026-01-03,2026-01-17
327,finance,LATAM,0,24.76,2026-01-29,2026-03-26
328,retail,EU,0,53.17,2026-01-22,2026-02-26
329,finance,LATAM,0,29.78,2026-01-05,2026-02-11
330,edtech,US,0,33.82,2026-01-26,2026-04-22
331,edtech,APAC,1,31.63,2026-01-05,2026-03-03
332,games,LATAM,0,39.97,2026-01-05,2026-03-04
333,games,APAC,0,120.81,2026-01-18,2026-02-23
334,auto,MEA,1,48.41,2026-01-09,2026-02-16
335,travel,APAC,1,8.12,2026-01-09,2026-03-13
336,auto,MEA,1,33.54,2026-01-06,2026-01-16
337,food,LATAM,0,54.55,2026-01-19,2026-02-14
338,games,US,0,56.93,2026-01-01,2026-02-26
339,finance,LATAM,1,18.2,2026-01-08,2026-03-07
340,food,APAC,0,55.45,2026-01-17,2026-01-31
341,media,APAC,0,46.97,2026-01-15,2026-03-28
342,games,EU,1,148.53,2026-01-21,2026-03-14
343,edtech,EU,0,14.51,2026-01-07,2026-02-02
344,edtech,APAC,0,17.2,2026-01-20,2026-03-30
345,food,EU,1,19.8,2026-01-23,2026-04-22
346,games,MEA,0,17.41,2026-01-12,2026-02-23
347,food,MEA,0,13.16,2026-01-08,2026-02-07
348,food,LATAM,0,3.55,2026-01-17,2026-02-17
349,finance,LATAM,0,18.1,2026-01-18,2026-03-15
350,finance,APAC,0,31.77,2026-01-03,2026-01-13
351,edtech,EU,1,17.37,2026-01-17,2026-03-05
352,retail,US,1,95.08,2026-01-05,2026-01-14
353,games,APAC,0,24.76,2026-01-18,2026-01-28
354,travel,MEA,0,60.57,2026-01-28,2026-03-11
355,food,US,1,29.46,2026-01-17,2026-03-26
356,food,APAC,0,43.75,2026-01-23,2026-04-13
357,finance,US,0,29.83,2026-01-10,2026-01-24
358,food,EU,0,63.95,2026-01-28,2026-02-24
359,retail,EU,0,25.51,2026-01-25,2026-03-07
360,media,US,0,34.72,2026-01-28,2026-03-23
361,auto,EU,0,31.7,2026-01-23,2026-04-21
362,food,EU,0,20.05,2026-01-20,2026-03-24
363,finance,US,0,32.57,2026-01-16,2026-03-08
364,food,US,0,117.22,2026-01-28,2026-02-09
365,retail,APAC,0,20.3,2026-01-26,2026-02-08
366,edtech,EU,0,32.91,2026-01-13,2026-02-01
367,travel,US,0,59.17,2026-01-03,2026-03-05
368,games,APAC,0,54.5,2026-01-01,2026-02-04
369,retail,MEA,0,24.73,2026-01-08,2026-02-03
370,auto,LATAM,0,4.63,2026-01-02,2026-03-05
371,games,MEA,0,35.22,2026-01-07,2026-03-22
372,media,US,1,5.19,2026-01-04,2026-02-16
373,travel,APAC,0,68.65,2026-01-30,2026-04-20
374,games,APAC,1,27.62,2026-01-03,2026-03-11
375,food,MEA,1,49.39,2026-01-19,2026-03-26
376,retail,MEA,0,13.05,2026-01-11,2026-03-31
377,media,MEA,0,8.28,2026-01-06,2026-01-28
378,media,LATAM,1,29.45,2026-01-22,2026-04-01
379,travel,APAC,0,23.96,2026-01-30,2026-04-26
380,games,APAC,0,17.39,2026-01-24,2026-04-23
381,retail,MEA,0,26.03,2026-01-30,2026-03-25
382,food,US,0,170.24,2026-01-18,2026-03-28
383,food,US,0,44.0,2026-01-21,2026-04-11
384,finance,MEA,1,51.14,2026-01-05,2026-03-23
385,retail,US,1,44.29,2026-01-26,2026-04-17
386,retail,US,0,69.1,2026-01-23,2026-04-09
387,retail,APAC,1,21.48,2026-01-08,2026-02-15
388,auto,US,0,5.82,2026-01-11,2026-03-19
389,food,MEA,1,21.5,2026-01-19,2026-03-01
390,finance,MEA,0,43.3,2026-01-01,2026-03-15
391,media,US,1,12.44,2026-01-25,2026-04-09
392,finance,APAC,1,21.68,2026-01-09,2026-04-03
393,games,MEA,0,15.12,2026-01-03,2026-02-27
394,edtech,LATAM,0,70.21,2026-01-10,2026-02-25
395,media,US,1,41.46,2026-01-26,2026-02-15
396,auto,APAC,0,38.71,2026-01-09,2026-03-09
397,retail,LATAM,0,37.91,2026-01-17,2026-03-12
398,finance,LATAM,1,23.9,2026-01-25,2026-03-15
399,games,EU,0,28.17,2026-01-02,2026-03-06
400,games,US,0,10.7,2026-01-23,2026-04-10
401,food,MEA,0,5.31,2026-01-09,2026-01-28
402,auto,US,0,27.25,2026-01-21,2026-03-04
403,games,US,1,30.78,2026-01-06,2026-03-13
404,food,US,0,57.2,2026-01-05,2026-03-21
405,travel,EU,0,73.7,2026-01-24,2026-04-05
406,edtech,EU,0,73.63,2026-01-25,2026-04-08
407,travel,US,1,12.2,2026-01-30,2026-04-17
408,finance,MEA,0,19.17,2026-01-21,2026-04-17
409,food,EU,1,34.34,2026-01-14,2026-03-12
410,retail,US,1,144.36,2026-01-06,2026-02-02
411,finance,EU,1,69.14,2026-01-09,2026-03-03
412,finance,APAC,1,53.71,2026-01-20,2026-03-26
413,games,US,1,18.7,2026-01-11,2026-01-26
414,finance,LATAM,1,13.22,2026-01-15,2026-03-25
415,retail,APAC,0,42.62,2026-01-06,2026-02-27
416,media,LATAM,1,11.35,2026-01-14,2026-04-08
417,food,LATAM,0,20.76,2026-01-08,2026-02-01
418,retail,APAC,0,22.64,2026-01-04,2026-03-27
419,games,MEA,1,74.82,2026-01-04,2026-02-17
420,edtech,APAC,1,19.14,2026-01-16,2026-03-11
421,food,MEA,1,4.45,2026-01-11,2026-03-13
422,media,MEA,0,34.92,2026-01-03,2026-02-27
423,auto,APAC,0,15.04,2026-01-16,2026-04-08
424,edtech,LATAM,0,25.28,2026-01-05,2026-01-25
425,travel,US,0,23.09,2026-01-01,2026-03-09
426,finance,MEA,0,20.26,2026-01-04,2026-04-01
427,auto,LATAM,0,42.66,2026-01-14,2026-02-08
428,auto,MEA,0,8.39,2026-01-29,2026-02-26
429,retail,US,1,17.08,2026-01-08,2026-02-23
430,media,LATAM,0,39.6,2026-01-09,2026-03-17
431,retail,APAC,1,15.96,2026-01-08,2026-04-04
432,media,EU,0,7.96,2026-01-11,2026-03-25
433,auto,EU,0,39.17,2026-01-22,2026-04-04
434,finance,APAC,0,53.85,2026-01-10,2026-02-22
435,travel,US,0,23.77,2026-01-20,2026-03-21
436,retail,EU,1,6.22,2026-01-27,2026-02-20
437,edtech,APAC,0,40.21,2026-01-29,2026-03-15
438,food,LATAM,0,7.68,2026-01-17,2026-02-08
439,retail,US,1,30.45,2026-01-22,2026-01-31
440,travel,MEA,1,13.18,2026-01-28,2026-04-16
441,food,LATAM,0,10.89,2026-01-24,2026-04-07
442,games,APAC,0,18.01,2026-01-09,2026-02-27
443,finance,MEA,0,21.58,2026-01-04,2026-01-12
444,travel,APAC,0,15.63,2026-01-04,2026-01-18
445,edtech,EU,0,37.04,2026-01-27,2026-02-12
446,media,EU,0,17.95,2026-01-17,2026-03-24
447,games,MEA,1,48.72,2026-01-09,2026-02-01
448,food,MEA,0,29.87,2026-01-11,2026-02-07
449,edtech,LATAM,0,15.05,2026-01-09,2026-03-28
450,games,EU,0,13.38,2026-01-25,2026-04-14
451,food,US,1,7.74,2026-01-19,2026-03-30
452,food,EU,0,30.07,2026-01-27,2026-02-28
453,travel,EU,1,19.14,2026-01-10,2026-03-06
454,retail,US,1,4.66,2026-01-15,2026-02-07
455,edtech,APAC,0,16.86,2026-01-04,2026-03-23
456,edtech,EU,0,13.06,2026-01-30,2026-02-13
457,finance,MEA,0,73.92,2026-01-16,2026-03-25
458,media,APAC,0,7.45,2026-01-17,2026-03-07
459,auto,US,1,8.94,2026-01-13,2026-03-23
460,retail,APAC,0,53.36,2026-01-09,2026-02-22
461,media,LATAM,1,63.42,2026-01-29,2026-02-18
462,finance,US,0,14.56,2026-01-15,2026-03-25
463,media,EU,0,15.76,2026-01-21,2026-03-21
464,travel,EU,0,37.76,2026-01-02,2026-02-16
465,retail,MEA,0,4.81,2026-01-09,2026-02-15
466,food,EU,0,6.67,2026-01-25,2026-03-01
467,finance,LATAM,0,20.16,2026-01-03,2026-02-18
468,edtech,US,0,72.6,2026-01-04,2026-02-01
469,finance,LATAM,1,18.08,2026-01-25,2026-02-24
470,food,EU,0,26.33,2026-01-10,2026-02-09
471,media,MEA,1,54.25,2026-01-09,2026-01-17
472,auto,LATAM,0,107.21,2026-01-17,2026-04-11
473,travel,APAC,0,16.38,2026-01-06,2026-02-01
474,travel,US,0,24.25,2026-01-02,2026-01-22
475,media,MEA,0,87.83,2026-01-01,2026-01-20
476,auto,US,0,8.45,2026-01-03,2026-04-02
477,auto,APAC,0,50.37,2026-01-05,2026-02-20
478,retail,US,1,12.03,2026-01-21,2026-02-24
479,media,US,0,26.36,2026-01-09,2026-02-18
480,retail,APAC,0,20.7,2026-01-03,2026-01-17
481,games,EU,0,12.55,2026-01-01,2026-02-03
482,auto,EU,0,12.33,2026-01-15,2026-02-11
483,games,US,0,29.77,2026-01-26,2026-04-09
484,auto,EU,0,49.25,2026-01-11,2026-01-22
485,travel,APAC,0,22.4,2026-01-02,2026-02-13
486,finance,MEA,0,25.77,2026-01-07,2026-03-20
487,games,EU,1,36.59,2026-01-15,2026-04-01
488,edtech,EU,0,12.43,2026-01-06,2026-02-24
489,auto,EU,1,41.17,2026-01-30,2026-02-24
490,edtech,APAC,0,43.53,2026-01-23,2026-02-26
491,food,US,0,151.8,2026-01-11,2026-02-05
492,auto,APAC,1,18.85,2026-01-29,2026-03-31
